Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,149,2,Some Random Commen with Id 0
1,0,7,60,2,Some Random Commen with Id 1
2,0,7,16,5,Some Random Commen with Id 2
3,0,7,32,3,Some Random Commen with Id 3
4,0,7,26,7,Some Random Commen with Id 4
5,0,7,125,7,Some Random Commen with Id 5
6,0,7,102,7,Some Random Commen with Id 6
7,0,7,160,4,Some Random Commen with Id 7
8,1,3,177,8,Some Random Commen with Id 8
9,1,3,189,0,Some Random Commen with Id 9
10,1,3,135,0,Some Random Commen with Id 10
11,1,3,28,5,Some Random Commen with Id 11
12,1,3,76,0,Some Random Commen with Id 12
13,2,9,108,5,Some Random Commen with Id 13
14,2,9,126,9,Some Random Commen with Id 14
15,2,9,96,8,Some Random Commen with Id 15
16,2,9,57,7,Some Random Commen with Id 16
17,2,9,105,7,Some Random Commen with Id 17
18,3,1,67,3,Some Random Commen with Id 18
19,3,1,24,2,Some Random Commen with Id 19
20,3,1,72,9,Some Random Commen with Id 20
21,3,1,149,8,Some Random Commen with Id 21
22,5,0,77,6,Some Random Commen with Id 22
23,5,0,91,6,Some Random Commen with Id 23
24,6,8,64,4,Some Random Commen with Id 24
25,6,8,192,9,Some Random Commen with Id 25
26,6,8,87,3,Some Random Commen with Id 26
27,6,8,128,4,Some Random Commen with Id 27
28,7,3,178,7,Some Random Commen with Id 28
29,7,3,29,9,Some Random Commen with Id 29
30,7,3,107,9,Some Random Commen with Id 30
31,8,1,116,1,Some Random Commen with Id 31
32,8,1,53,9,Some Random Commen with Id 32
33,8,1,56,9,Some Random Commen with Id 33
34,8,1,70,7,Some Random Commen with Id 34
35,8,1,77,1,Some Random Commen with Id 35
36,8,1,0,3,Some Random Commen with Id 36
37,8,1,161,7,Some Random Commen with Id 37
38,8,1,50,1,Some Random Commen with Id 38
39,9,9,162,1,Some Random Commen with Id 39
40,9,9,106,0,Some Random Commen with Id 40
41,9,9,63,1,Some Random Commen with Id 41
42,9,9,190,0,Some Random Commen with Id 42
43,9,9,136,1,Some Random Commen with Id 43
44,9,9,97,8,Some Random Commen with Id 44
45,9,9,160,9,Some Random Commen with Id 45
46,9,9,105,0,Some Random Commen with Id 46
47,9,9,57,2,Some Random Commen with Id 47
48,10,0,98,9,Some Random Commen with Id 48
49,10,0,42,3,Some Random Commen with Id 49
50,10,0,183,4,Some Random Commen with Id 50
51,10,0,130,5,Some Random Commen with Id 51
52,10,0,155,9,Some Random Commen with Id 52
53,11,6,45,5,Some Random Commen with Id 53
54,11,6,121,4,Some Random Commen with Id 54
55,11,6,196,2,Some Random Commen with Id 55
56,11,6,26,7,Some Random Commen with Id 56
57,11,6,95,9,Some Random Commen with Id 57
58,11,6,10,4,Some Random Commen with Id 58
59,11,6,62,4,Some Random Commen with Id 59
60,12,1,15,3,Some Random Commen with Id 60
61,13,1,54,4,Some Random Commen with Id 61
62,13,1,42,5,Some Random Commen with Id 62
63,13,1,124,0,Some Random Commen with Id 63
64,13,1,119,8,Some Random Commen with Id 64
